distrito, concelho, freguesia, ano e mes, preco_m2
Porto,Vila Nova de Gaia,Avintes,Fevereiro 2015,n.a.
Porto,Vila Nova de Gaia,Avintes,Janeiro 2015,n.a.
Porto,Vila Nova de Gaia,Canelas,Dezembro 2019,1.064
Porto,Vila Nova de Gaia,Canelas,Novembro 2019,1.049
Porto,Vila Nova de Gaia,Canelas,Outubro 2019,1.050
Porto,Vila Nova de Gaia,Canelas,Setembro 2019,1.045
Porto,Vila Nova de Gaia,Canelas,Agosto 2019,1.053
Porto,Vila Nova de Gaia,Canelas,Julho 2019,1.052
Porto,Vila Nova de Gaia,Canelas,Junho 2019,1.033
Porto,Vila Nova de Gaia,Canelas,Maio 2019,1.014
Porto,Vila Nova de Gaia,Canelas,Abril 2019,980
Porto,Vila Nova de Gaia,Canelas,Março 2019,974
Porto,Vila Nova de Gaia,Canelas,Fevereiro 2019,958
Porto,Vila Nova de Gaia,Canelas,Janeiro 2019,953
Porto,Vila Nova de Gaia,Canelas,Dezembro 2018,951
Porto,Vila Nova de Gaia,Canelas,Novembro 2018,958
Porto,Vila Nova de Gaia,Canelas,Outubro 2018,931
Porto,Vila Nova de Gaia,Canelas,Setembro 2018,903
Porto,Vila Nova de Gaia,Canelas,Agosto 2018,905
Porto,Vila Nova de Gaia,Canelas,Julho 2018,913
Porto,Vila Nova de Gaia,Canelas,Junho 2018,900
Porto,Vila Nova de Gaia,Canelas,Maio 2018,857
Porto,Vila Nova de Gaia,Canelas,Abril 2018,862
Porto,Vila Nova de Gaia,Canelas,Março 2018,855
Porto,Vila Nova de Gaia,Canelas,Fevereiro 2018,853
Porto,Vila Nova de Gaia,Canelas,Janeiro 2018,846
Porto,Vila Nova de Gaia,Canelas,Dezembro 2017,817
Porto,Vila Nova de Gaia,Canelas,Novembro 2017,786
Porto,Vila Nova de Gaia,Canelas,Outubro 2017,766
Porto,Vila Nova de Gaia,Canelas,Setembro 2017,771
Porto,Vila Nova de Gaia,Canelas,Agosto 2017,766
Porto,Vila Nova de Gaia,Canelas,Julho 2017,763
Porto,Vila Nova de Gaia,Canelas,Junho 2017,762
Porto,Vila Nova de Gaia,Canelas,Maio 2017,748
Porto,Vila Nova de Gaia,Canelas,Abril 2017,748
Porto,Vila Nova de Gaia,Canelas,Março 2017,741
Porto,Vila Nova de Gaia,Canelas,Fevereiro 2017,720
Porto,Vila Nova de Gaia,Canelas,Janeiro 2017,715
Porto,Vila Nova de Gaia,Canelas,Dezembro 2016,715
Porto,Vila Nova de Gaia,Canelas,Novembro 2016,712
Porto,Vila Nova de Gaia,Canelas,Outubro 2016,703
Porto,Vila Nova de Gaia,Canelas,Setembro 2016,714
Porto,Vila Nova de Gaia,Canelas,Agosto 2016,724
Porto,Vila Nova de Gaia,Canelas,Julho 2016,712
Porto,Vila Nova de Gaia,Canelas,Junho 2016,700
Porto,Vila Nova de Gaia,Canelas,Maio 2016,743
Porto,Vila Nova de Gaia,Canelas,Abril 2016,738
Porto,Vila Nova de Gaia,Canelas,Março 2016,720
Porto,Vila Nova de Gaia,Canelas,Fevereiro 2016,721
Porto,Vila Nova de Gaia,Canelas,Janeiro 2016,719
Porto,Vila Nova de Gaia,Canelas,Dezembro 2015,735
Porto,Vila Nova de Gaia,Canelas,Novembro 2015,731
Porto,Vila Nova de Gaia,Canelas,Outubro 2015,736
Porto,Vila Nova de Gaia,Canelas,Setembro 2015,739
Porto,Vila Nova de Gaia,Canelas,Agosto 2015,738
Porto,Vila Nova de Gaia,Canelas,Julho 2015,729
Porto,Vila Nova de Gaia,Canelas,Junho 2015,731
Porto,Vila Nova de Gaia,Canelas,Maio 2015,724
Porto,Vila Nova de Gaia,Canelas,Abril 2015,770
Porto,Vila Nova de Gaia,Canelas,Março 2015,759
Porto,Vila Nova de Gaia,Canelas,Fevereiro 2015,771
Porto,Vila Nova de Gaia,Canelas,Janeiro 2015,n.a.
Porto,Vila Nova de Gaia,Canidelo,Dezembro 2019,1.472
Porto,Vila Nova de Gaia,Canidelo,Novembro 2019,1.489
Porto,Vila Nova de Gaia,Canidelo,Outubro 2019,1.506
Porto,Vila Nova de Gaia,Canidelo,Setembro 2019,1.537
Porto,Vila Nova de Gaia,Canidelo,Agosto 2019,1.522
Porto,Vila Nova de Gaia,Canidelo,Julho 2019,1.530
Porto,Vila Nova de Gaia,Canidelo,Junho 2019,1.529
Porto,Vila Nova de Gaia,Canidelo,Maio 2019,1.512
Porto,Vila Nova de Gaia,Canidelo,Abril 2019,1.511
Porto,Vila Nova de Gaia,Canidelo,Março 2019,1.464
Porto,Vila Nova de Gaia,Canidelo,Fevereiro 2019,1.454
Porto,Vila Nova de Gaia,Canidelo,Janeiro 2019,1.462
Porto,Vila Nova de Gaia,Canidelo,Dezembro 2018,1.486
Porto,Vila Nova de Gaia,Canidelo,Novembro 2018,1.524
Porto,Vila Nova de Gaia,Canidelo,Outubro 2018,1.530
Porto,Vila Nova de Gaia,Canidelo,Setembro 2018,1.537
Porto,Vila Nova de Gaia,Canidelo,Agosto 2018,1.555
Porto,Vila Nova de Gaia,Canidelo,Julho 2018,1.587
Porto,Vila Nova de Gaia,Canidelo,Junho 2018,1.588
Porto,Vila Nova de Gaia,Canidelo,Maio 2018,1.603
Porto,Vila Nova de Gaia,Canidelo,Abril 2018,1.630
Porto,Vila Nova de Gaia,Canidelo,Março 2018,1.620
Porto,Vila Nova de Gaia,Canidelo,Fevereiro 2018,1.595
Porto,Vila Nova de Gaia,Canidelo,Janeiro 2018,1.526
Porto,Vila Nova de Gaia,Canidelo,Dezembro 2017,1.528
Porto,Vila Nova de Gaia,Canidelo,Novembro 2017,1.460
Porto,Vila Nova de Gaia,Canidelo,Outubro 2017,1.431
Porto,Vila Nova de Gaia,Canidelo,Setembro 2017,1.441
Porto,Vila Nova de Gaia,Canidelo,Agosto 2017,1.471
Porto,Vila Nova de Gaia,Canidelo,Julho 2017,1.461
Porto,Vila Nova de Gaia,Canidelo,Junho 2017,1.448
Porto,Vila Nova de Gaia,Canidelo,Maio 2017,1.439
Porto,Vila Nova de Gaia,Canidelo,Abril 2017,1.434
Porto,Vila Nova de Gaia,Canidelo,Março 2017,1.412
Porto,Vila Nova de Gaia,Canidelo,Fevereiro 2017,1.333
Porto,Vila Nova de Gaia,Canidelo,Janeiro 2017,1.304
Porto,Vila Nova de Gaia,Canidelo,Dezembro 2016,1.269
Porto,Vila Nova de Gaia,Canidelo,Novembro 2016,1.215
Porto,Vila Nova de Gaia,Canidelo,Outubro 2016,1.172
Porto,Vila Nova de Gaia,Canidelo,Setembro 2016,1.141
Porto,Vila Nova de Gaia,Canidelo,Agosto 2016,1.127
Porto,Vila Nova de Gaia,Canidelo,Julho 2016,1.108
Porto,Vila Nova de Gaia,Canidelo,Junho 2016,1.033
Porto,Vila Nova de Gaia,Canidelo,Maio 2016,1.039
Porto,Vila Nova de Gaia,Canidelo,Abril 2016,1.009
Porto,Vila Nova de Gaia,Canidelo,Março 2016,1.000
Porto,Vila Nova de Gaia,Canidelo,Fevereiro 2016,1.020
Porto,Vila Nova de Gaia,Canidelo,Janeiro 2016,1.015
Porto,Vila Nova de Gaia,Canidelo,Dezembro 2015,1.005
Porto,Vila Nova de Gaia,Canidelo,Novembro 2015,992
Porto,Vila Nova de Gaia,Canidelo,Outubro 2015,979
Porto,Vila Nova de Gaia,Canidelo,Setembro 2015,997
Porto,Vila Nova de Gaia,Canidelo,Agosto 2015,1.000
Porto,Vila Nova de Gaia,Canidelo,Julho 2015,979
Porto,Vila Nova de Gaia,Canidelo,Junho 2015,960
