distrito, concelho, freguesia, ano e mes, preco_m2
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Julho 2015,1.409
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Junho 2015,1.395
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Maio 2015,1.364
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Abril 2015,1.308
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Março 2015,1.271
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Fevereiro 2015,1.298
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Janeiro 2015,1.308
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Dezembro 2019,1.609
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Novembro 2019,1.572
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Outubro 2019,1.585
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Setembro 2019,1.581
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Agosto 2019,1.534
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Julho 2019,1.534
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Junho 2019,1.500
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Maio 2019,1.454
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Abril 2019,1.483
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Março 2019,1.468
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Fevereiro 2019,1.427
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Janeiro 2019,1.377
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Dezembro 2018,1.339
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Novembro 2018,1.280
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Outubro 2018,1.241
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Setembro 2018,1.240
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Agosto 2018,1.204
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Julho 2018,1.216
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Junho 2018,1.209
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Maio 2018,1.222
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Abril 2018,1.197
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Março 2018,1.184
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Fevereiro 2018,1.180
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Janeiro 2018,1.174
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Dezembro 2017,1.203
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Novembro 2017,1.217
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Outubro 2017,1.242
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Setembro 2017,1.218
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Agosto 2017,1.195
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Julho 2017,1.189
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Junho 2017,1.145
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Maio 2017,1.135
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Abril 2017,1.141
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Março 2017,1.141
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Fevereiro 2017,1.119
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Janeiro 2017,1.083
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Dezembro 2016,1.089
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Novembro 2016,1.045
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Outubro 2016,1.053
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Setembro 2016,1.041
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Agosto 2016,1.064
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Julho 2016,1.056
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Junho 2016,1.051
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Maio 2016,1.087
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Abril 2016,1.076
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Março 2016,1.108
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Fevereiro 2016,1.098
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Janeiro 2016,1.072
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Dezembro 2015,1.066
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Novembro 2015,1.082
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Outubro 2015,1.084
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Setembro 2015,1.102
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Agosto 2015,1.113
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Julho 2015,1.091
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Junho 2015,1.075
