distrito, concelho, freguesia, ano e mes, preco_m2
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Novembro 2019,3.270
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Outubro 2019,3.272
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Setembro 2019,3.266
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Agosto 2019,3.261
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Julho 2019,3.257
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Junho 2019,3.232
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Maio 2019,3.223
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Abril 2019,3.190
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Março 2019,3.168
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Fevereiro 2019,3.164
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Janeiro 2019,3.135
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Dezembro 2018,3.092
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Novembro 2018,3.011
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Outubro 2018,2.993
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Setembro 2018,2.946
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Agosto 2018,2.962
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Julho 2018,2.960
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Junho 2018,2.937
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Maio 2018,2.870
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Abril 2018,2.840
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Março 2018,2.814
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Fevereiro 2018,2.783
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Janeiro 2018,2.719
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Dezembro 2017,2.653
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Novembro 2017,2.627
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Outubro 2017,2.580
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Setembro 2017,2.491
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Agosto 2017,2.435
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Julho 2017,2.356
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Junho 2017,2.289
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Maio 2017,2.268
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Abril 2017,2.220
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Março 2017,2.091
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Fevereiro 2017,2.000
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Janeiro 2017,1.967
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Dezembro 2016,1.895
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Novembro 2016,1.761
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Outubro 2016,1.696
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Setembro 2016,1.711
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Agosto 2016,1.687
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Julho 2016,1.684
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Junho 2016,1.656
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Maio 2016,1.643
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Abril 2016,1.670
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Março 2016,1.585
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Fevereiro 2016,1.665
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Janeiro 2016,1.648
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Dezembro 2015,1.507
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Novembro 2015,1.501
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Outubro 2015,1.488
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Setembro 2015,1.531
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Agosto 2015,1.505
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Julho 2015,1.474
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Junho 2015,1.469
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Maio 2015,1.498
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Abril 2015,1.519
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Março 2015,1.689
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Fevereiro 2015,1.895
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Janeiro 2015,1.897
Porto,Porto,Paranhos,Dezembro 2019,2.324
Porto,Porto,Paranhos,Novembro 2019,2.328
Porto,Porto,Paranhos,Outubro 2019,2.307
Porto,Porto,Paranhos,Setembro 2019,2.252
Porto,Porto,Paranhos,Agosto 2019,2.213
Porto,Porto,Paranhos,Julho 2019,2.192
Porto,Porto,Paranhos,Junho 2019,2.171
Porto,Porto,Paranhos,Maio 2019,2.179
Porto,Porto,Paranhos,Abril 2019,2.182
Porto,Porto,Paranhos,Março 2019,2.162
Porto,Porto,Paranhos,Fevereiro 2019,2.144
Porto,Porto,Paranhos,Janeiro 2019,2.097
Porto,Porto,Paranhos,Dezembro 2018,2.068
