distrito, concelho, freguesia, ano e mes, preco_m2
Lisboa,Lisboa,Alvalade,Junho 2016,2.791
Lisboa,Lisboa,Alvalade,Maio 2016,2.796
Lisboa,Lisboa,Alvalade,Abril 2016,2.820
Lisboa,Lisboa,Alvalade,Março 2016,2.649
Lisboa,Lisboa,Alvalade,Fevereiro 2016,2.614
Lisboa,Lisboa,Alvalade,Janeiro 2016,2.658
Lisboa,Lisboa,Alvalade,Dezembro 2015,2.573
Lisboa,Lisboa,Alvalade,Novembro 2015,2.440
Lisboa,Lisboa,Alvalade,Outubro 2015,2.360
Lisboa,Lisboa,Alvalade,Setembro 2015,2.370
Lisboa,Lisboa,Alvalade,Agosto 2015,2.446
Lisboa,Lisboa,Alvalade,Julho 2015,2.434
Lisboa,Lisboa,Alvalade,Junho 2015,2.462
Lisboa,Lisboa,Alvalade,Maio 2015,2.492
Lisboa,Lisboa,Alvalade,Abril 2015,2.674
Lisboa,Lisboa,Alvalade,Março 2015,2.687
Lisboa,Lisboa,Alvalade,Fevereiro 2015,2.688
Lisboa,Lisboa,Alvalade,Janeiro 2015,2.774
Lisboa,Lisboa,Areeiro,Dezembro 2019,4.056
Lisboa,Lisboa,Areeiro,Novembro 2019,4.027
Lisboa,Lisboa,Areeiro,Outubro 2019,4.032
Lisboa,Lisboa,Areeiro,Setembro 2019,4.023
Lisboa,Lisboa,Areeiro,Agosto 2019,4.041
Lisboa,Lisboa,Areeiro,Julho 2019,4.046
Lisboa,Lisboa,Areeiro,Junho 2019,3.982
Lisboa,Lisboa,Areeiro,Maio 2019,3.920
Lisboa,Lisboa,Areeiro,Abril 2019,3.923
Lisboa,Lisboa,Areeiro,Março 2019,3.908
Lisboa,Lisboa,Areeiro,Fevereiro 2019,3.841
Lisboa,Lisboa,Areeiro,Janeiro 2019,3.903
Lisboa,Lisboa,Areeiro,Dezembro 2018,3.968
Lisboa,Lisboa,Areeiro,Novembro 2018,3.956
Lisboa,Lisboa,Areeiro,Outubro 2018,3.901
Lisboa,Lisboa,Areeiro,Setembro 2018,3.825
Lisboa,Lisboa,Areeiro,Agosto 2018,3.803
Lisboa,Lisboa,Areeiro,Julho 2018,3.804
Lisboa,Lisboa,Areeiro,Junho 2018,3.687
Lisboa,Lisboa,Areeiro,Maio 2018,3.560
Lisboa,Lisboa,Areeiro,Abril 2018,3.488
Lisboa,Lisboa,Areeiro,Março 2018,3.421
Lisboa,Lisboa,Areeiro,Fevereiro 2018,3.319
Lisboa,Lisboa,Areeiro,Janeiro 2018,3.304
Lisboa,Lisboa,Areeiro,Dezembro 2017,3.279
Lisboa,Lisboa,Areeiro,Novembro 2017,3.310
Lisboa,Lisboa,Areeiro,Outubro 2017,3.175
Lisboa,Lisboa,Areeiro,Setembro 2017,3.070
Lisboa,Lisboa,Areeiro,Agosto 2017,3.057
Lisboa,Lisboa,Areeiro,Julho 2017,3.026
Lisboa,Lisboa,Areeiro,Junho 2017,3.033
Lisboa,Lisboa,Areeiro,Maio 2017,2.950
Lisboa,Lisboa,Areeiro,Abril 2017,2.887
Lisboa,Lisboa,Areeiro,Março 2017,2.825
Lisboa,Lisboa,Areeiro,Fevereiro 2017,2.870
Lisboa,Lisboa,Areeiro,Janeiro 2017,2.904
Lisboa,Lisboa,Areeiro,Dezembro 2016,2.883
Lisboa,Lisboa,Areeiro,Novembro 2016,2.744
Lisboa,Lisboa,Areeiro,Outubro 2016,2.684
Lisboa,Lisboa,Areeiro,Setembro 2016,2.680
Lisboa,Lisboa,Areeiro,Agosto 2016,2.641
Lisboa,Lisboa,Areeiro,Julho 2016,2.641
Lisboa,Lisboa,Areeiro,Junho 2016,2.668
Lisboa,Lisboa,Areeiro,Maio 2016,2.788
Lisboa,Lisboa,Areeiro,Abril 2016,2.756
Lisboa,Lisboa,Areeiro,Março 2016,2.671
Lisboa,Lisboa,Areeiro,Fevereiro 2016,2.626
Lisboa,Lisboa,Areeiro,Janeiro 2016,2.360
Lisboa,Lisboa,Areeiro,Dezembro 2015,2.473
Lisboa,Lisboa,Areeiro,Novembro 2015,2.402
Lisboa,Lisboa,Areeiro,Outubro 2015,2.387
Lisboa,Lisboa,Areeiro,Setembro 2015,2.240
Lisboa,Lisboa,Areeiro,Agosto 2015,2.187
Lisboa,Lisboa,Areeiro,Julho 2015,1.992
Lisboa,Lisboa,Areeiro,Junho 2015,1.963
Lisboa,Lisboa,Areeiro,Maio 2015,1.941
Lisboa,Lisboa,Areeiro,Abril 2015,2.147
Lisboa,Lisboa,Areeiro,Março 2015,2.200
Lisboa,Lisboa,Areeiro,Fevereiro 2015,n.a.
Lisboa,Lisboa,Areeiro,Janeiro 2015,2.269
Lisboa,Lisboa,Arroios,Dezembro 2019,4.401
Lisboa,Lisboa,Arroios,Novembro 2019,4.244
Lisboa,Lisboa,Arroios,Outubro 2019,4.209
Lisboa,Lisboa,Arroios,Setembro 2019,4.167
Lisboa,Lisboa,Arroios,Agosto 2019,4.092
Lisboa,Lisboa,Arroios,Julho 2019,4.085
Lisboa,Lisboa,Arroios,Junho 2019,4.029
Lisboa,Lisboa,Arroios,Maio 2019,3.919
Lisboa,Lisboa,Arroios,Abril 2019,3.878
Lisboa,Lisboa,Arroios,Março 2019,3.876
Lisboa,Lisboa,Arroios,Fevereiro 2019,3.858
Lisboa,Lisboa,Arroios,Janeiro 2019,3.825
Lisboa,Lisboa,Arroios,Dezembro 2018,3.823
Lisboa,Lisboa,Arroios,Novembro 2018,3.810
Lisboa,Lisboa,Arroios,Outubro 2018,3.802
Lisboa,Lisboa,Arroios,Setembro 2018,3.743
Lisboa,Lisboa,Arroios,Agosto 2018,3.715
Lisboa,Lisboa,Arroios,Julho 2018,3.775
Lisboa,Lisboa,Arroios,Junho 2018,3.848
Lisboa,Lisboa,Arroios,Maio 2018,3.841
Lisboa,Lisboa,Arroios,Abril 2018,3.843
Lisboa,Lisboa,Arroios,Março 2018,3.757
Lisboa,Lisboa,Arroios,Fevereiro 2018,3.664
Lisboa,Lisboa,Arroios,Janeiro 2018,3.727
Lisboa,Lisboa,Arroios,Dezembro 2017,3.800
Lisboa,Lisboa,Arroios,Novembro 2017,3.827
Lisboa,Lisboa,Arroios,Outubro 2017,3.767
Lisboa,Lisboa,Arroios,Setembro 2017,3.615
Lisboa,Lisboa,Arroios,Agosto 2017,3.591
Lisboa,Lisboa,Arroios,Julho 2017,3.602
Lisboa,Lisboa,Arroios,Junho 2017,3.482
Lisboa,Lisboa,Arroios,Maio 2017,3.487
Lisboa,Lisboa,Arroios,Abril 2017,3.529
Lisboa,Lisboa,Arroios,Março 2017,3.528
Lisboa,Lisboa,Arroios,Fevereiro 2017,3.562
Lisboa,Lisboa,Arroios,Janeiro 2017,3.547
Lisboa,Lisboa,Arroios,Dezembro 2016,3.470
Lisboa,Lisboa,Arroios,Novembro 2016,3.485
Lisboa,Lisboa,Arroios,Outubro 2016,3.432
Lisboa,Lisboa,Arroios,Setembro 2016,3.232
Lisboa,Lisboa,Arroios,Agosto 2016,2.816
Lisboa,Lisboa,Arroios,Julho 2016,2.511
Lisboa,Lisboa,Arroios,Junho 2016,2.495
Lisboa,Lisboa,Arroios,Maio 2016,2.499
Lisboa,Lisboa,Arroios,Abril 2016,2.401
Lisboa,Lisboa,Arroios,Março 2016,2.361
Lisboa,Lisboa,Arroios,Fevereiro 2016,2.362
Lisboa,Lisboa,Arroios,Janeiro 2016,2.277
