distrito, concelho, freguesia, ano, mes, preco_m2
Braga,Braga,Celeirós - Aveleda - Vimieiro,Novembro 2019,906
Braga,Braga,Celeirós - Aveleda - Vimieiro,Outubro 2019,918
Braga,Braga,Celeirós - Aveleda - Vimieiro,Setembro 2019,975
Braga,Braga,Celeirós - Aveleda - Vimieiro,Agosto 2019,944
Braga,Braga,Celeirós - Aveleda - Vimieiro,Julho 2019,998
Braga,Braga,Celeirós - Aveleda - Vimieiro,Junho 2019,995
Braga,Braga,Celeirós - Aveleda - Vimieiro,Maio 2019,993
Braga,Braga,Celeirós - Aveleda - Vimieiro,Abril 2019,1.003
Braga,Braga,Celeirós - Aveleda - Vimieiro,Março 2019,1.006
Braga,Braga,Celeirós - Aveleda - Vimieiro,Fevereiro 2019,1.012
Braga,Braga,Celeirós - Aveleda - Vimieiro,Janeiro 2019,975
Braga,Braga,Celeirós - Aveleda - Vimieiro,Dezembro 2018,926
Braga,Braga,Celeirós - Aveleda - Vimieiro,Novembro 2018,896
Braga,Braga,Celeirós - Aveleda - Vimieiro,Outubro 2018,875
Braga,Braga,Celeirós - Aveleda - Vimieiro,Setembro 2018,868
Braga,Braga,Celeirós - Aveleda - Vimieiro,Agosto 2018,874
Braga,Braga,Celeirós - Aveleda - Vimieiro,Julho 2018,881
Braga,Braga,Celeirós - Aveleda - Vimieiro,Junho 2018,856
Braga,Braga,Celeirós - Aveleda - Vimieiro,Maio 2018,868
Braga,Braga,Celeirós - Aveleda - Vimieiro,Abril 2018,864
Braga,Braga,Celeirós - Aveleda - Vimieiro,Março 2018,875
Braga,Braga,Celeirós - Aveleda - Vimieiro,Fevereiro 2018,883
Braga,Braga,Celeirós - Aveleda - Vimieiro,Janeiro 2018,897
Braga,Braga,Celeirós - Aveleda - Vimieiro,Dezembro 2017,878
Braga,Braga,Celeirós - Aveleda - Vimieiro,Novembro 2017,879
Braga,Braga,Celeirós - Aveleda - Vimieiro,Outubro 2017,854
Braga,Braga,Celeirós - Aveleda - Vimieiro,Setembro 2017,837
Braga,Braga,Celeirós - Aveleda - Vimieiro,Agosto 2017,831
Braga,Braga,Celeirós - Aveleda - Vimieiro,Julho 2017,810
